Centerline Latitude (°),Centerline Longitude (°),Width (m)
-92.87812497542495,30.044921239219907,186.77196507406413
-92.87822125005586,30.04485053076322,183.4323207366
-92.87830481124108,30.044775980633847,187.18726193065706
-92.87837620527534,30.04469795908331,196.93789511083594
-92.87843597845347,30.044616836363094,204.96517411984092
-92.87848467707022,30.044532982724707,185.18401974727075
-92.87856978849956,30.044268738815482,181.88026934178023
-92.87857965181834,30.0441776640194,166.9446673692583
-92.87858117204952,30.044085709562644,150.5773997392435
-92.87857489548786,30.043993245696708,143.32454241383283
-92.87856136842817,30.0439006426731,139.13940892098287
-92.87854113911351,30.04380826663924,139.05777911680482
-92.8785148303401,30.043716326700416,132.77131764303275
-92.87848316106911,30.04362482939542,135.72209630786998
-92.87844685662054,30.043533767868738,142.49725041963035
-92.87840664231425,30.04344313526487,150.8416063379451
-92.87836324347015,30.0433529247283,183.08530636262955
-92.87831738540817,30.04326312940352,174.71397459442042
-92.87826979344825,30.04317374243504,158.67157663882804
-92.87822119291027,30.04308475696734,141.12434195235372
-92.87817230911419,30.04299616614492,140.07137878717867
-92.87812386737988,30.042907963112256,144.81372251386026
-92.87807659302732,30.04282014101386,152.55576351986034
-92.87803121137637,30.042732692994218,149.04593437368092
-92.87798844449445,30.04264561054729,147.70706240995497
-92.87794884199269,30.042558797651765,142.47327182120904
-92.87791269846663,30.04247202887526,141.166918638628
-92.87788028795138,30.04238506835169,139.07682613784627
-92.87785188448197,30.04229768021495,138.39521925561624
-92.8778277620935,30.042209628598968,138.33922681747117
-92.87780819482099,30.042120677637637,138.4987301862671
-92.87779345669952,30.042030591464865,136.501528186236
-92.87778382176413,30.041939134214545,136.44798600898957
-92.87777956404989,30.041846070020608,137.40829711175016
-92.8777809575919,30.041751163016947,138.14605450300476
-92.87778827642514,30.04165417733747,139.16086645873045
-92.87780178458448,30.04155488315646,141.3143893255275
-92.87782128545874,30.04145332888855,146.06761171555067
-92.87784593877574,30.041349951733956,154.10344902588932
-92.87787485637088,30.041245217820844,162.9924204677477
-92.8779071500797,30.041139593277435,171.1806189874776
-92.8779419317376,30.041033544231922,170.30173953129952
-92.87797831318008,30.04092753681251,167.2101091352644
-92.8780154062426,30.040822037147404,171.31161761598463
-92.87698746327844,30.03945741110519,232.9847819499599
-92.87688467487408,30.03947743054015,227.03851339997453
-92.8767816267312,30.039501485897066,221.58130807659418
-92.87667879703882,30.03952945705104,215.99363682939762
-92.87657639811607,30.039560831536566,221.35714298601246
-92.87647442164992,30.039594771304316,213.88843494847984
-92.87637285264769,30.039630428447836,211.32532519076318
-92.87627167611666,30.039666955060657,212.61154413445783
-92.87617087706403,30.03970350323627,207.6374119630262
-92.87607044049716,30.03973922506823,205.61778012009603
-92.8759703514233,30.03977327265006,208.87485546087888
-92.87587059484973,30.039804798075277,217.5785636067925
-92.87577115578372,30.039832953437408,228.59820132568373
-92.87567201922901,30.03985689216886,235.50488831004327
-92.87557316934306,30.039876088162618,224.37007897209708
-92.87547458834518,30.039890749180053,214.93420422377906
-92.87537625818462,30.039901185273024,212.80539318728424
-92.87527816081055,30.039907706493366,207.81083300619508
-92.87518027817222,30.039910622892954,209.71891092027835
-92.87508259221882,30.039910244523636,208.2713391117376
-92.87498508489956,30.03990688143728,201.4728436080772
-92.87488773816368,30.03990084368572,190.84029089000953
-92.87479053396032,30.03989244132082,177.14609658464641
