     llat       llon      rlat       rlon
30.039023 -92.873021 30.117187 -92.907573
30.039013 -92.873056 30.117171 -92.907564
30.039003 -92.873092 30.117162 -92.907554
30.038987 -92.873136 30.117152 -92.907551
30.038984 -92.873162 30.117142 -92.907544
30.038990 -92.873204 30.117134 -92.907531
30.038996 -92.873245 30.117128 -92.907519
30.039008 -92.873278 30.117128 -92.907503
30.039019 -92.873302 30.117133 -92.907491
30.039033 -92.873343 30.117139 -92.907480
30.039045 -92.873375 30.117146 -92.907469
30.039050 -92.873408 30.117151 -92.907458
30.039071 -92.873448 30.117151 -92.907445
30.039076 -92.873482 30.117149 -92.907431
30.039082 -92.873523 30.117144 -92.907416
30.039087 -92.873557 30.117134 -92.907406
30.039078 -92.873600 30.117126 -92.907394
30.039076 -92.873634 30.117118 -92.907381
30.039060 -92.873678 30.117109 -92.907369
30.039059 -92.873721 30.117102 -92.907363
30.039070 -92.873796 30.117091 -92.907350
30.039076 -92.873837 30.117078 -92.907336
30.039083 -92.873887 30.117064 -92.907328
30.039098 -92.873936 30.117055 -92.907316
30.039118 -92.873968 30.117044 -92.907309
30.039130 -92.874001 30.117037 -92.907300
30.039138 -92.874059 30.117029 -92.907288
30.039145 -92.874101 30.117017 -92.907284
30.039135 -92.874135 30.117005 -92.907290
30.039110 -92.874171 30.116998 -92.907301
30.039078 -92.874208 30.117000 -92.907314
30.039032 -92.874245 30.116998 -92.907326
30.039015 -92.874280 30.116996 -92.907335
30.039014 -92.874322 30.116986 -92.907345
30.039015 -92.874381 30.116973 -92.907344
30.039021 -92.874422 30.116961 -92.907337
30.039029 -92.874472 30.116953 -92.907328
30.039041 -92.874504 30.116945 -92.907316
30.039048 -92.874554 30.116940 -92.907314
30.039054 -92.874595 30.116897 -92.907280
30.039060 -92.874637 30.116884 -92.907272
30.039068 -92.874686 30.116874 -92.907254
30.039071 -92.874711 30.116861 -92.907250
30.039085 -92.874752 30.116847 -92.907246
30.039088 -92.874777 30.116834 -92.907242
30.039088 -92.874827 30.116821 -92.907238
30.039079 -92.874861 30.116801 -92.907232
30.039068 -92.874887 30.116785 -92.907227
30.039035 -92.874913 30.116768 -92.907225
30.039010 -92.874940 30.116758 -92.907226
30.038990 -92.874957 30.116740 -92.907227
30.038972 -92.874983 30.116727 -92.907227
30.038961 -92.875009 30.116700 -92.907226
30.038929 -92.875035 30.116684 -92.907224
30.038904 -92.875061 30.116670 -92.907224
30.038893 -92.875087 30.116657 -92.907223
30.038892 -92.875128 30.116644 -92.907223
30.038882 -92.875161 30.116625 -92.907217
30.038887 -92.875194 30.116610 -92.907212
30.038885 -92.875227 30.116594 -92.907207
30.038883 -92.875260 30.116582 -92.907203
30.038880 -92.875293 30.116566 -92.907202
30.038864 -92.875327 30.116550 -92.907204
30.038837 -92.875344 30.116534 -92.907202
30.038812 -92.875370 30.116520 -92.907205
30.038802 -92.875395 30.116501 -92.907206
30.038808 -92.875435 30.116479 -92.907206
30.038827 -92.875467 30.116460 -92.907207
30.038839 -92.875500 30.116443 -92.907212
30.038851 -92.875532 30.116427 -92.907214
30.038858 -92.875581 30.116407 -92.907218
30.038856 -92.875614 30.116400 -92.907222
30.038853 -92.875647 30.116381 -92.907226
30.038852 -92.875688 30.116369 -92.907226
30.038842 -92.875761 30.116356 -92.907229
30.038839 -92.875794 30.116345 -92.907235
30.038830 -92.875827 30.116334 -92.907245
30.038812 -92.875852 30.116331 -92.907245
30.038802 -92.875876 30.116308 -92.907254
30.038778 -92.875909 30.116289 -92.907258
30.038768 -92.875934 30.116282 -92.907263
30.038757 -92.875958 30.116266 -92.907267
30.038748 -92.875991 30.116256 -92.907274
30.038755 -92.876039 30.116245 -92.907281
30.038753 -92.876072 30.116237 -92.907292
30.038750 -92.876104 30.116226 -92.907302
30.038748 -92.876136 30.116218 -92.907312
30.038724 -92.876161 30.116211 -92.907320
30.038704 -92.876169 30.116202 -92.907334
30.038662 -92.876169 30.116194 -92.907345
30.038636 -92.876185 30.116183 -92.907355
30.038619 -92.876209 30.116178 -92.907366
30.038604 -92.876249 30.116169 -92.907377
30.038602 -92.876281 30.116162 -92.907384
30.038601 -92.876322 30.116154 -92.907395
30.038607 -92.876362 30.116142 -92.907411
30.038612 -92.876402 30.116135 -92.907419
30.038610 -92.876434 30.116130 -92.907427
30.038579 -92.876469 30.116118 -92.907443
30.038534 -92.876546 30.116106 -92.907459
30.038508 -92.876585 30.116101 -92.907470
30.038498 -92.876622 30.116093 -92.907481
30.038480 -92.876659 30.116085 -92.907491
30.038462 -92.876697 30.116056 -92.907534
30.038435 -92.876727 30.116053 -92.907550
30.038424 -92.876763 30.116047 -92.907565
