Centerline Latitude (Deg),Centerline Longitude (Deg),Width (km)
43.668771949414605,-101.3325153650239,0.030402000982093218
43.66901699578861,-101.33274635092079,0.02286029940621567
43.66883879989631,-101.33315308874042,0.01935216306194849
43.6685294816301,-101.33352351770031,0.02803344632015977
43.66884491431374,-101.3337304329034,0.015978080571437448
43.669205783008685,-101.33335230767025,0.018266528065977592
43.66940865177135,-101.33287791386567,0.014706962554634813
43.66946421703629,-101.33240686098617,0.013601390800460295
43.6693517884478,-101.3318944820743,0.014111121222265677
43.66924634954562,-101.33138871188274,0.016180664279377917
43.66952604280079,-101.33111358670763,0.07115500784707662
43.66992408766027,-101.33140808052406,0.030678233240666767
43.670142516119995,-101.33187323192662,0.02243765708491332
43.670284903198706,-101.33235039843731,0.021395170108485892
43.67029883227366,-101.3328487441301,0.022829235227747227
43.67016023327721,-101.33335623076813,0.029370137959126262
43.67031609705184,-101.33376954632757,0.01890555619960269
43.67065906090903,-101.33364000713543,0.018396941384343307
43.6709096176537,-101.33317893667602,0.03350410301798818
43.671279523699326,-101.33283856677778,0.03583959446379531
43.67151416833963,-101.33238185065704,0.01805230155570983
43.671388335932335,-101.33193473209538,0.029707251407926183
43.671213121086595,-101.3314160286642,0.021719513334320352
43.6713010107854,-101.33094986026379,0.025896915213667958
43.67166845072896,-101.33093103396524,0.024256717274618974
43.6721338969591,-101.33119209171157,0.024126269809888114
43.67255116571325,-101.33151060396855,0.022958189315387057
43.67289725565312,-101.3318782130219,0.021453576308953143
43.67315481571371,-101.33229638263923,0.01439991616301048
43.67331029090609,-101.3327623338364,0.0179361359364215
43.673359954865255,-101.33326230249345,0.021137280417163017
43.67330226202893,-101.33378052151524,0.017048614812927444
43.67338333247188,-101.33420006857047,0.02542288143274546
43.67390104427466,-101.33423010323021,0.01786012012780156
43.6743218251625,-101.33396644928975,0.018376732899659864
43.67461346462549,-101.33351780742329,0.01723668996990383
43.67494551354543,-101.33340066254614,0.028743190470001456
43.675073486273284,-101.33388352520105,0.02356629808902081
43.675058030232755,-101.33440717152075,0.02104763251051585
43.67529374053992,-101.33478396441136,0.0750762816612581
43.67562448190015,-101.33449145568804,0.02303125750266445
43.67593654458903,-101.33408945762545,0.03251819103045677
43.67628092730227,-101.33437791530481,0.023422674109743483
43.676141241443005,-101.33480433742115,0.02212061695383471
43.67580924286154,-101.33520880591203,0.020670492880880426
43.6756338431624,-101.33569102378715,0.02920871469488299
43.6756928566997,-101.33613872706295,0.031140620857233046
43.67604562887497,-101.33643772532564,0.03240187531081956
43.67658147833103,-101.33656158700458,0.02933569556179822
43.67708402675123,-101.3365523986141,0.03053742965720717
43.67755381176419,-101.33642182255572,0.03250612176630272
43.67803787959993,-101.33624245870519,0.019681312880691477
43.67850679039256,-101.33620221022362,0.07573763822055038
43.678659293545444,-101.33662068155378,0.03294992909984054
43.67847063400373,-101.33714702452608,0.026717783665126782
43.678530194071804,-101.3375678006926,0.040449523955188055
43.678956373541595,-101.33779578479509,0.02208643505774891
43.67946388122998,-101.33781700739013,0.03056306302711649
43.67996463518653,-101.3376804517088,0.024762807483380847
43.68041708658162,-101.3377660907174,0.028482299996745494
43.68068435895881,-101.33815824525857,0.02517891084277885
43.680768486003956,-101.33866650917304,0.02367611803317464
43.680771383865306,-101.33919379068311,0.017792199393292952
43.68077495611956,-101.33966953610712,0.015190018812818134
43.68074530422369,-101.34017488278752,0.015085408740158538
43.680713928996646,-101.34072929635273,0.019637737060523405
