llat,llon,rlat,rlon
43.73865111589233,-101.3689642453228,43.73876156786564,-101.3685833680913
43.73840570131912,-101.3688569017236,43.73848860014919,-101.3684835283012
43.73825049121574,-101.3688001954283,43.73837892720326,-101.3682194695256
43.73810392915382,-101.3686489247623,43.73823560798499,-101.3678399789787
43.73807659194082,-101.3683915230792,43.73812488043244,-101.3676178605877
43.73799397076942,-101.3680063626843,43.73790238457965,-101.3673964963883
43.73781808171168,-101.3677935246075,43.73769950517433,-101.3673199746531
43.73766612741215,-101.3676445817494,43.73755393581545,-101.3673657928339
43.73752405602913,-101.3676995274744,43.73737846755673,-101.3674383154392
43.73743871981419,-101.3678104912269,43.73725700868465,-101.3677223445822
43.73740269764473,-101.368072207575,43.73723698001133,-101.3680096828123
43.73744755750133,-101.368453501191,43.73728633122295,-101.3683904392776
43.73756046793282,-101.3687039746473,43.73737611162137,-101.3688072098068
43.73770976356686,-101.3689923224537,43.73747825460312,-101.3690026011328
43.73775388041603,-101.3692354193685,43.73740261758401,-101.3691432915167
43.73764251465632,-101.3694218140061,43.73730154839529,-101.3691681914179
43.73746271097529,-101.3694397729024,43.73708474377242,-101.3689983275956
43.73716838495604,-101.3693227423985,43.73688351663701,-101.3688569481181
43.73686854144359,-101.3691840807571,43.73672786588873,-101.3688595373076
43.73666542824805,-101.3691615463997,43.73654993101531,-101.3689003229709
43.73636827751582,-101.369321347009,43.73637873347418,-101.3689954328382
43.73612673312559,-101.3693997078302,43.73620517317148,-101.3690723731429
43.7360005128176,-101.369313500024,43.73610998860295,-101.3689313204216
43.73587979778865,-101.3689962136957,43.73605281407856,-101.368671880644
43.73580255450602,-101.3686228221564,43.73599565721327,-101.3684125164873
43.73572336567634,-101.3682258818379,43.73591577887101,-101.3681789703812
43.73554656782019,-101.3677132943178,43.7358334863206,-101.3679265485588
43.73536094591905,-101.3672724423092,43.73575053748171,-101.3676715122124
43.7352719693374,-101.3670861992018,43.73565331366387,-101.3674039067199
43.73530755366939,-101.3668245420353,43.73555634140299,-101.3672463706595
43.73534837273294,-101.3666079571353,43.73550402058299,-101.3670248609323
43.7353351484449,-101.3662204491199,43.73553592797747,-101.3667454050925
43.73525968022363,-101.3660087417806,43.73552109490603,-101.3665125491479
43.73513561773013,-101.3659452035053,43.73555801243071,-101.3662817053363
43.73497651720305,-101.3660043559125,43.73553291698407,-101.3659727051491
43.73479249285005,-101.366141642903,43.73541926619676,-101.3657828767786
43.73457706372935,-101.3662803225005,43.73530849725481,-101.3657223224358
43.73440700253514,-101.3665248877337,43.73516603031695,-101.3656241698268
43.73446315181261,-101.3668575646592,43.73500203423934,-101.3656657945804
43.73463994594563,-101.3672345526556,43.73478677994483,-101.365827774851
43.73481169078471,-101.3675637645428,43.73457944310684,-101.3659504155185
43.73487014813651,-101.3679187668593,43.73439282529198,-101.3661368259413
43.73484029127402,-101.3682234654582,43.73424862403072,-101.3663438798622
43.7346891553637,-101.3684878632321,43.73419130563104,-101.366519188015
43.73444673127467,-101.3686807297248,43.73423312177159,-101.3667717849338
43.73429864809883,-101.368691784342,43.73435131915846,-101.3671069902388
43.73411316062499,-101.3685257750392,43.73450345985515,-101.367397090136
43.73399989968425,-101.3685503554242,43.73463663339256,-101.3676384196154
43.73392423296593,-101.3687522928458,43.73463821145928,-101.3679800022331
